thin,id,thin2,journal,thin3,thin4,date,thin5,thin6
"NA","41830555","NA","procnatiacadscie","NA","NA","2012-06-01T00:00:00Z ","","fla"
"NA","20619228","NA","mycologia","NA","NA","2009-06-01T00:00:00Z ","","fla"
"NA","4539978","NA","divedist","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","25835614","NA","palaios","NA","NA","2011-06-01T00:00:00Z ","","fla"
"NA","25064264","NA","systematicbotany","NA","NA","2007-06-01T00:00:00Z ","","fla"
"NA","27646158","NA","ecolmono","NA","NA","2008-06-01T00:00:00Z ","","fla"
"NA","2403883","NA","jappliedecology","NA","NA","1987-06-01T00:00:00Z ","","fla"
"NA","4088500","NA","auk","NA","NA","1994-06-01T00:00:00Z ","","fla"
"NA","23609347","NA","florento","NA","NA","2013-06-01T00:00:00Z ","","fla"
"NA","25676707","NA","procbiolscie","NA","NA","2010-06-01T00:00:00Z ","","fla"
